    0    0    0    0    0    0    0    0    0    0
    0   20  -10    5   10   10    5  -10   20    0
    0  -10  -20    0    0    0    0  -20  -10    0
    0    5    0    1    1    1    1    0    5    0
    0   10    0    1    2    2    1    0   10    0
    0   10    0    1    3    3    1    0   10    0
    0    5    0    1    2    2    1    0    5    0
    0  -10  -20    0    0    0    0  -20  -10    0
    0   20  -10    5   10   10    5  -10   20    0
    0    0    0    0    0    0    0    0    0    0
